sample	status	note
01_源文件布局_接口_库_文件级定义/LayoutToken.sol	ok	imports preserved; run with --no-branch-preprocess because the existing branch flattener drops import aliases
02_基础ERC20_状态变量_构造函数_事件_错误_modifier/GuardedERC20.sol	ok	
03_继承_抽象合约_可见性_receive_fallback/PayableInheritedERC20.sol	compile_error	MintableCore is non-abstract but leaves ERC-20 functions unimplemented; same failure as the historical run
04_类型系统_数组_mapping_struct_enum_UDVT/TypedSnapshotERC20.sol	ok	
05_表达式_运算符_控制流_checked_unchecked/ControlFlowERC20.sol	ok	
06_ABI_低级调用_trycatch_new_合约类型/AbiFactoryAndProbe.sol	ok	
07_内联Assembly_memorysafe_Yul操作/AssemblyERC20.sol	ok	
08_Yul对象_ERC20选择器分发	skipped	standalone Yul object; no Solidity inline-assembly source for the function-level pipeline
09_多维Mapping_SemanticFact/MultiMappingParity.sol	ok	
10_大量Yul_统一语义模型/YulHeavyERC20.sol	ok	
